name_project,sectors,region_project,budget_project,project_duration_days,عدد المنشآت,عدد العاملين السعوديين,economic_indicator,project_success
أبراج قناة البيلسان – Bay La Sun Canal Towers                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
ذا ايليت – The Elite                  , تجاري,"منطقة الرياض, الرياض",,1369.0,732297.0,1159997.0,,0
الملقا وارف – Al-Malqa Wharf                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج ميم – M Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
شرفات بارك الخير – Shorofat Park Alkhair                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
شرفات بارك الراكة – Shorofat Park Rakkah                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
فندق دار جدة – Dar Jeddah Hotel                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
أسطبل بريدة – Buraydah Stables                  , تجاري,"منطقة القصيم, بريدة",,,78901.0,59468.0,,0
بارك ان الرياض العليا – Park Inn Riyadh Olaya                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
فندق خبتي جراند – Khabty Grand Hotel                  , تجاري,"منطقة عسير, بيشة",,,77895.0,53929.0,,0
ثروات لوجستيك سيتي – Tharwat Logistic City                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
صناعية الشمال – North Industrial                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
بن سكوير – Bin Square                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع داينمك – Dynamic Complex                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
حلم أبها  –  The Dream of Abha                  , تجاري,"منطقة عسير, أبها",,,77895.0,53929.0,,0
سيتي فيوز 2- City Views 2                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
تلال أبها – Tilal Abha                  , تجاري,"منطقة عسير, أبها",206250000.0,,77895.0,53929.0,,0
فنادق ايبيس و أداجيو و نوفوتيل الأندلس –  Novotel & Ibis...                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مدينة الورود – Medinat Alwurud                  , تجاري,"منطقة مكة المكرمة, الطائف",,,286456.0,477481.0,,0
بن جلوي بارك – Bin Glawy Park                  , تجاري,"المنطقة الشرقية, الخبر",18750000.0,,188521.0,598525.0,,0
ضاحية الحسينية – Al Husayniyah Subrub                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
ربى مكة – Ruba Makkah                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,1222.0,286456.0,477481.0,,0
بارك ان الدمام ويست أفينيو – Park Inn Dammam West Avenue                  , تجاري,"المنطقة الشرقية, الدمام",,761.0,188521.0,598525.0,,0
باك يارد – Back Yard                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
ردسي مول (التوسعة الثانية) – (Red Sea Mall (2nd Expansion                  , تجاري,"منطقة مكة المكرمة, جدة",,515.0,286456.0,477481.0,,0
برج مكتبي طريق المدينة –  Madinah Road Office Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مركز جمعية النحالين – Beekeepers Cooperative Center                  , تجاري,"منطقة الباحة, بلجرشي",,,11185.0,6073.0,,0
سيتي فيوز 1- City Views 1                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
مجمع الأمير نايف بن عبدالعزيز – Prince Naif Bin Abdulaziz Complex...                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
سلطان غالريا – Sultan Galleria                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
ياسمينا درايف – Yasmina Drive                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
النرجس سكوير – Alnarjes Square                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الصفوة جاردن – Safwah Garden                  , تجاري,"منطقة جازان, جازان",,,52022.0,22115.0,,0
منتجعات شرما – Sharma Resorts                  , تجاري,"منطقة تبوك, شرما",,,33731.0,22283.0,,0
تكامل – Tkamul                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
أبراج الربيع – SPRING TOWER                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مقر موبايلي – Mobily Center                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",600000000.0,,286456.0,477481.0,,0
مجمع الخليج السكني – Al Gulf Residence Compound                  , تجاري,"منطقة مكة المكرمة, الطائف",112500000.0,,286456.0,477481.0,,0
لبن بلازا – Laban Plaza                  , تجاري,"منطقة الرياض, الرياض",,425.0,732297.0,1159997.0,,0
تطوير الفيصلية – Faysaliah Development                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
بارك ان جدة – Park Inn Jeddah                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
اتيلييه لافي – Atelier Lavie                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع حمدان التجاري – Hammdan Commercial Complex                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
منصور رويال – Mansour Royal                  , تجاري,"منطقة المدينة المنورة, المدينة المنورة",,,75446.0,74821.0,,0
مجمع مطاعم – Restaurant Complex                  , تجاري,"منطقة المدينة المنورة, المدينة المنورة",,562.0,75446.0,74821.0,,0
راديسون بلو الإحساء – Radisson Blu Al Ahsa                  , تجاري,"المنطقة الشرقية, الأحساء",,,188521.0,598525.0,,0
برج يوسف محمد ناغي – Yousef Muhammad Naghi Tower                  , تجاري,"منطقة مكة المكرمة, جدة",45000000.0,,286456.0,477481.0,,0
الخريجي مول – EL KHERIJI SHOPPING MAL                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
تال بلازا – Tal Plaza                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
سمارت بوليفارد – Smart Boulevard                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
سمارت سكوير – SMART SQUARE                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج رؤيا المالية – Vision Capital Tower                  , تجاري,"منطقة مكة المكرمة, جدة",150000000.0,,286456.0,477481.0,,0
قرية البحر الأحمر – Red Sea Village                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع مطاعم – Restaurant Complex                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
القدية – Qiddiya                  , تجاري,القدية,,,368638.28018867923,622155.975,,0
برج الانصاري – Ansari Tower                  , تجاري,"المنطقة الشرقية, الخبر",150000000.0,,188521.0,598525.0,,0
الجوهرة مول – ALJOHARAH MALL                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
قرية لابالما السكنية الثانية في الرياض – LaPalma Compound Riy...                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
تاون سكوير – Town Square                  , تجاري,"منطقة مكة المكرمة, جدة",,610.0,286456.0,477481.0,,0
مركز الترفيه العائلي – Family Entertainment Center                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
الحرمين ستي سنتر – AL HARAMEEN CITY CENTER                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
برج لو مداس – Le Mades Tower                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
سنترو أنس – Centro Anas                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
سنترو كورنيش الخبر – Centro Corniche Khobar                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
سنترو الجبيل – Centro Jubail                  , تجاري,"المنطقة الشرقية, الجبيل",,,188521.0,598525.0,,0
ركاء بلازا جابر – RAKA PLAZA JABER                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مليباري سكوير – Malibari Square                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
ذا بارك – THE PARK                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الطائف بلازا – TAIF PLAZA                  , تجاري,"منطقة مكة المكرمة, الطائف",,,286456.0,477481.0,,0
الربوة بلازا – AL RABWAH PLAZA                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
توسعة مستشفى دلة النخيل – DALLAH HOSPITAL EXPANSIONS OF ALNAKHEEL                  , تجاري,"منطقة الرياض, الرياض",500000000.0,1696.0,732297.0,1159997.0,,1
سنترو الخليج – Centro Khaleej                  , تجاري,"المنطقة الشرقية, الدمام",,848.0,188521.0,598525.0,,0
دايموند الخبر – diamond alkhobar malll                  , تجاري,"المنطقة الشرقية, الخبر",18000000.0,365.0,188521.0,598525.0,,1
توليب إن المدينة الصناعية بجدة – Tulip Inn industrial city in Jeddah...                  , تجاري,"منطقة مكة المكرمة, جدة",153000000.0,,286456.0,477481.0,,0
مجمع العقارية بالنرجس – Al-Akaria Complex in Narjis                  , تجاري,"منطقة الرياض, الرياض",115780000.0,1064.0,732297.0,1159997.0,,1
مستشفى د. سليمان الحبيب بالصحافة – Dr. Sulaiman Al-Habib Hospital in AL...                  , تجاري,"منطقة الرياض, الرياض",2000000000.0,,732297.0,1159997.0,,0
ضاحية فلل الرمال – Al Rimal Villas Complex                  , تجاري,"منطقة الرياض, الرياض",538283964.0,,732297.0,1159997.0,,0
مجمع متعدد الاستخدام في طريق المدينة –  Mix Use Complex Madinah...                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع رفاد للاعمال – Refad Business Park                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
كليات الأصالة – Al Asala Colleges                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
لو برستيج – Le Prestige                  , تجاري,"منطقة مكة المكرمة, جدة",,2526.0,286456.0,477481.0,,0
الضاحية سنتر – ALDAHIYAH CENTER                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
العليا بلازا – Olaya Plaza                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج الباحة – Al Baha Tower                  , تجاري,"منطقة الباحة, الباحة",218000000.0,,11185.0,6073.0,,0
مبنى الروضة – Rawdah Building                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
برج ذا بوس – The Boss Tower                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مركز النجمة – Star Center                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
رؤى الحرم – Roa Al Haram                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
مطعم الباحة – Al Baha Resturant                  , تجاري,"منطقة الباحة, الباحة",,,11185.0,6073.0,,0
برج منارة مكة – Manarah Makkah Tower                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
روفان بلازا – Rovan Plaza                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
فندق روزالي الرياض – Rosalie Hotels Riyadh                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مول برج جدة – Jeddah Tower Mall                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع متعدد الاستخدام – Mixed Use Complex                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مكتب الخطوط السعودية بمكة المكرمة – Saudi Airlines Office in Makk...                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
أوريكا سنتر – Ourika Center                  , تجاري,"منطقة القصيم, بريدة",,364.0,78901.0,59468.0,,0
ملاذ بلازا – Malath Plaza                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
مجمع الكلثم للأعمال – Alkaltham Business Park                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
مبنى الصالحية – Al Salehia Building                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مبنى سكني وتجاري – Commercial & Residential Complex                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
أبراج الكورنيش – Corniche Towers                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
عنيزة بوليفارد – Boulevard Unayzah                  , تجاري,"منطقة القصيم, عنيزة",,,78901.0,59468.0,,0
عرعر سيتي سنتر – Arar City Centre                  , تجاري,"منطقة الحدود الشمالية, عرعر",,,14061.0,6470.0,,0
ستاند مول – Stand Alone Mall                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
ابراج الانواء – Anwa Towers                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
ركاء بلازا – RAKA PLAZA                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
صحار – Sahar                  , تجاري,"منطقة القصيم, بريدة",4000000000.0,,78901.0,59468.0,,0
بيت الفن – Bayt Al Fann                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
تطوير مدينة الملك فهد الساحلية – King Fahad Coastal City Development...                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
أبراج ساحل البيلسان – Bay La Sun Coastal Towers                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
"كمفورت سويت الأهلي جدة – COMFORT SUITES, AL AHLY                  ", تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
شرفات بارك حطين – Shrofat Park Hittin                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
"كمفورت سويت، طريق الملك جدة – COMFORT SUITES, KING ROAD JEDDAH                  ", تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
"كواليتي إن، روشان مول جدة – QUALITY INN, ROSHAN MALL                  ", تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
فندق نوفوتيل المركز المالي – Novotel Hotel KAFD                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
المركز الحضاري الشرقي بمكة المكرمة                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
المركز الحضاري الجنوبي بمكة المكرمة                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
فندق موڤنبيك وعد الشمال – Mövenpick Hotel Wa’ad Al Shamal                  , تجاري,"وعد الشمال, منطقة الحدود الشمالية",,,368638.28018867923,622155.975,,0
شرفات بارك الندى – Shorofat Park Alnada                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مركز الخياط الروضة – El Khayyat Center                  , تجاري,"منطقة مكة المكرمة, جدة",,1247.0,286456.0,477481.0,,0
فندق السحيم – SUHAIM HOTEL                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
برج نابرك – NAPRC Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
ابراج الصفوة – Safwa Towers                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",1000000000.0,1766.0,286456.0,477481.0,,1
برج التوحيد – Tawhed Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
كورتيارد باي ماريوت جدة – Courtyard Marriott Jeddah                  , تجاري,"منطقة مكة المكرمة, جدة",,2616.0,286456.0,477481.0,,0
المقر –  Headquarte                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
بلدية محافظة الدرعية – Addiriyah Municipality                  , تجاري,"منطقة الرياض, الدرعية",,1783.0,732297.0,1159997.0,,0
مجمع فندقي ومعارض – Hotel & Exhibition Complex                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
الحوية بارك – Hawiya Park                  , تجاري,"منطقة مكة المكرمة, الطائف",,,286456.0,477481.0,,0
الحمراء – AL HAMRA                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مقر شركة إدارة وإنماء المشاريع – PMDC HQ                  , تجاري,"منطقة مكة المكرمة, جدة",,1095.0,286456.0,477481.0,,0
مستشفى الرازي – ALRAZI HOSPITAL                  , تجاري,"المنطقة الشرقية, الأحساء",60000000.0,760.0,188521.0,598525.0,,1
مقر شركة مرافق – Marafiq Headquarters                  , تجاري,"المنطقة الشرقية, الجبيل الصناعية",152358644.0,,188521.0,598525.0,,0
بزنس باي – Business Bay                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مقر شركة عتاد – ATAD Office Building                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج السبيعي – Al Subaii Tower                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
ذا كوارتز – The Quartz                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
برج الياسمين – Yasmeen Tower                  , تجاري,"منطقة الرياض, الرياض",75000001.0,,732297.0,1159997.0,,0
الريفيرا بارك – Reveria Park                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
قرية القصيبي – Gosaibi Village                  , تجاري,"المنطقة الشرقية, الخبر",100000000.0,935.0,188521.0,598525.0,,1
برج الزهراني – Zahrani Tower                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
مجمع تجاري – Strip Mall                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
قلب الطائف – Taif Heart                  , تجاري,"منطقة مكة المكرمة, الطائف",200000000.0,,286456.0,477481.0,,0
مجمع الرياض للاستثمار – Riyadh Investment Park                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مقر شركة سابك – Sabic Headquarter                  , تجاري,"المنطقة الشرقية, الجبيل الصناعية",,,188521.0,598525.0,,0
النايفة – Al-Nayfah                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج الغزاوي – Ghazzawi Tower                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
قرية فيلاجيو – Villaggio Village                  , تجاري,"المنطقة الشرقية, الخبر",120000000.0,454.0,188521.0,598525.0,,1
مجمع الفرسان – Fursan Center                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
مركز يو شيب – U Shape Center                  , تجاري,"منطقة مكة المكرمة, جدة",,1948.0,286456.0,477481.0,,0
رد سي مول – Red Sea Mall                  , تجاري,"منطقة مكة المكرمة, جدة",650000000.0,1159.0,286456.0,477481.0,,1
برج الزاهد التجاري – Zahid Commercial Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
داون تاون – Downtown                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
تطوير مطار حائل – Development of Hail Airport                  , تجاري,"منطقة حائل, حائل",,,43636.0,17276.0,,0
الواجهة البحرية بالحمراء – Hamra Waterfront                  , تجاري,"منطقة مكة المكرمة, جدة",950000000.0,2054.0,286456.0,477481.0,,1
برج الوصيل – Waseel Tower                  , تجاري,"منطقة الرياض, الرياض",,988.0,732297.0,1159997.0,,0
جدة داون تاون – Jeddah Downtown                  , تجاري,"منطقة مكة المكرمة, جدة",18000000000.0,3928.0,286456.0,477481.0,,0
بانوراما جدة – Panorama Jeddah                  , تجاري,"منطقة مكة المكرمة, جدة",,1096.0,286456.0,477481.0,,0
مبنى الادارة المالية و الموارد البشرية للخطوط السعودي�...                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مقر منظمة المؤتمر الإسلامي – Organization of the Islamic Conference Hea...                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
بن سليمان للأعمال – Bin Suleiman Center                  , تجاري,"منطقة مكة المكرمة, جدة",,699.0,286456.0,477481.0,,0
وقف الملك عبدالله لوالديه – King Abdullah Endowment for His Parents                  , تجاري,"منطقة المدينة المنورة, المدينة المنورة",2500000000.0,6208.0,75446.0,74821.0,,1
العزيزية جاليري – Azizia Gallery                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
حمد سنتر – Hamad Center                  , تجاري,"منطقة مكة المكرمة, جدة",,942.0,286456.0,477481.0,,0
The Valley – ذا ڤالي                  , تجاري,"المنطقة الشرقية, الأحساء",31500000.0,304.0,188521.0,598525.0,,1
الربيع تراينجلز – AlRabeia Triangles                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج الهدى بلازا – Huda Plaza Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
حدائق الأندلسية – Andalusia Gardens                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
دكان أفنيو – Dekan Avenu                  , تجاري,"المنطقة الشرقية, الأحساء",,,188521.0,598525.0,,0
أبراج رصد – Rusd Towers                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
برج الخيال –  AlKhayyal Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,912.0,286456.0,477481.0,,0
مقر شركة الطيار – Al Tayyar Headquarters                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج البرغش – Al Barghash Tower                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
مركز الوليد التجاري – Al Waleed Commercial Center                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
مطل – Mattal                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
مركز البيلسان للمعارض –  BAY X                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,199.0,286456.0,477481.0,,0
فنادق تلال النسيم – AL NASSIM HOTEL                  , تجاري,,,,368638.28018867923,622155.975,,0
برج الأندلس كراون – Al Andalus Crown Tower                  , تجاري,"منطقة مكة المكرمة, جدة",,1126.0,286456.0,477481.0,,0
مجمع مطاعم العيون – AL Oyoon Restaurants complex                  , تجاري,"منطقة المدينة المنورة, المدينة المنورة",,,75446.0,74821.0,,0
فندق دبل تري من هيلتون جدة – DoubleTree by Hilton Jeddah                  , تجاري,"منطقة مكة المكرمة, جدة",,996.0,286456.0,477481.0,,0
تطوير عرقة القديمة – Old Arqah Development                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مركز أريك- AREIK Commercial Center                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
المزاحمية آفنيو – MUZAHIMIYAH AVENUE                  , تجاري,"منطقة الرياض, المزاحمية",,,732297.0,1159997.0,,0
مجمع مطاعم نجران – Najran Restaurants complex                  , تجاري,"نجران, منطقة نجران",,,368638.28018867923,622155.975,,0
غالية سكوير – Ghalya Square                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج سكني الدمام – Residential Tower Dammam                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
جدة مركز متعدد الاستخدام – Jeddah Mixed use building                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع مطاعم الحمراء – Hamra restaurants Campound                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
بيازا – Piaza                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
توسعة وتطوير مول الفيصلية – Al Faisaliah mall development Project                  , تجاري,"منطقة الرياض, الرياض",1125000000.0,,732297.0,1159997.0,,0
